"nama_lengkap","gender","age","length_service","absent_hour","distribution_centers_id","distribution_centers_name","latitude","longitude","jumlah_produk"
"Bell Charlotte","F",42.8870275,4.651508,22.91224714,1,"Memphis TN",35.1174,-89.9711,3891
"Bell William","M",55.08121502,3.838883465,85.72317546,1,"Memphis TN",35.1174,-89.9711,3891
"Benjamin Rose","F",32.71690426,1.273650014,0,1,"Memphis TN",35.1174,-89.9711,3891
"Bennett Percy","M",50.61606018,5.260792832,133.5544364,1,"Memphis TN",35.1174,-89.9711,3891
"Benoit Bradley","M",42.44088327,5.522456624,22.55052052,1,"Memphis TN",35.1174,-89.9711,3891
"Berke Alexandra","F",49.51479326,4.775995195,71.99192318,1,"Memphis TN",35.1174,-89.9711,3891
"Bermudez Dawn","F",41.7127606,3.127489559,51.77912444,1,"Memphis TN",35.1174,-89.9711,3891
"Birt June","F",45.71472912,4.848678547,156.4242189,1,"Memphis TN",35.1174,-89.9711,3891
"Bischof James","M",52.47834095,4.81315124,107.7923578,1,"Memphis TN",35.1174,-89.9711,3891
"Bishop Anne","F",42.11002733,7.89376897,54.13318886,1,"Memphis TN",35.1174,-89.9711,3891
"Black Yolanda","F",40.86210178,5.974330714,104.0762189,1,"Memphis TN",35.1174,-89.9711,3891
"Blakes Nancy","F",51.86080422,5.371792902,124.5725392,1,"Memphis TN",35.1174,-89.9711,3891
"Blose Debra","F",32.63615642,4.444225482,24.9269419,1,"Memphis TN",35.1174,-89.9711,3891
"Bolduc Don","M",27.43107003,5.053284781,0,1,"Memphis TN",35.1174,-89.9711,3891
"Boles James","M",50.41446787,4.02894265,63.97078944,1,"Memphis TN",35.1174,-89.9711,3891
"Bowman Paulette","F",48.91303081,4.629445723,132.0560976,1,"Memphis TN",35.1174,-89.9711,3891
"Boyer Deborah","F",51.07950558,5.461382177,97.28657695,1,"Memphis TN",35.1174,-89.9711,3891
"Bracken Debra","F",36.1558302,4.523238788,58.43639224,1,"Memphis TN",35.1174,-89.9711,3891
"Bradley Jacquelyn","F",35.42870605,4.280913785,37.54294407,1,"Memphis TN",35.1174,-89.9711,3891
"Braud Alfonso","M",38.38906678,4.968577776,28.63001058,1,"Memphis TN",35.1174,-89.9711,3891
"Bridges Robert","M",40.27230351,1.77317157,60.52769341,1,"Memphis TN",35.1174,-89.9711,3891
"Broadwater Donna","F",12.99162043,5.894723724,0,1,"Memphis TN",35.1174,-89.9711,3891
"Brooks Virginia","F",53.13408936,2.884021515,132.3931433,1,"Memphis TN",35.1174,-89.9711,3891
"Brown Beverly","F",44.91737116,5.140870577,96.43894422,1,"Memphis TN",35.1174,-89.9711,3891
"Brown Deandrea","F",38.06426309,3.90088165,83.28569009,1,"Memphis TN",35.1174,-89.9711,3891
"Brown Dennis","M",39.66863428,5.538755957,41.95303278,1,"Memphis TN",35.1174,-89.9711,3891
"Brown Michelle","F",52.88656025,4.019141988,95.13877327,1,"Memphis TN",35.1174,-89.9711,3891
"Brown Seth","M",42.25658521,3.979362875,54.20331269,1,"Memphis TN",35.1174,-89.9711,3891
"Browning Christiane","F",58.57572963,6.547789836,153.2632323,1,"Memphis TN",35.1174,-89.9711,3891
"Bruce April","F",51.10028423,4.338429348,170.8171945,1,"Memphis TN",35.1174,-89.9711,3891
"Bryan Larry","M",45.01263,12.688114,47.51121024,1,"Memphis TN",35.1174,-89.9711,3891
"Bryant Cornelia","F",61.92398839,7.116954389,184.6554938,1,"Memphis TN",35.1174,-89.9711,3891
"Bryant John","M",55.75100979,6.090840721,116.960938,1,"Memphis TN",35.1174,-89.9711,3891
"Buchanan Randy","M",40.25540164,3.136458502,31.32329081,1,"Memphis TN",35.1174,-89.9711,3891
"Buck Eldridge","M",20.46301165,6.203381237,0,1,"Memphis TN",35.1174,-89.9711,3891
"Buckley Nora","F",35.50754777,1.90536866,0,1,"Memphis TN",35.1174,-89.9711,3891
"Budde Irene","F",47.6344986,3.74143708,149.1087377,1,"Memphis TN",35.1174,-89.9711,3891
"Burdett Lupe","F",26.95413722,4.211798508,0,1,"Memphis TN",35.1174,-89.9711,3891
"Burk Darrin","M",57.27711351,4.515504967,142.7796991,1,"Memphis TN",35.1174,-89.9711,3891
"Busch Alice","F",35.4939,13.707758,0,1,"Memphis TN",35.1174,-89.9711,3891
"Butcher Edward","M",31.66946134,4.434338763,0,1,"Memphis TN",35.1174,-89.9711,3891
"Butler Eva","F",47.675805,2.070597917,107.0259874,1,"Memphis TN",35.1174,-89.9711,3891
"Butts Rosalinda","F",49.7619231,4.651379635,157.9424484,1,"Memphis TN",35.1174,-89.9711,3891
"Byrd Steven","M",39.59149937,3.047967642,35.23270952,1,"Memphis TN",35.1174,-89.9711,3891
"Cabrera Charles","M",40.85339998,7.048670186,51.42381838,1,"Memphis TN",35.1174,-89.9711,3891
"Calhoun Erin","F",42.86148735,6.033441225,45.73099672,1,"Memphis TN",35.1174,-89.9711,3891
"Callahan Miguel","M",59.42901031,5.61356505,121.1914572,1,"Memphis TN",35.1174,-89.9711,3891
"Calles Mary","F",45.6015481,3.421862484,105.2258301,1,"Memphis TN",35.1174,-89.9711,3891
"Camargo Larry","M",43.64364064,3.708536692,42.65656012,1,"Memphis TN",35.1174,-89.9711,3891
"Campbell Jeremiah","M",48.32233424,7.209689888,79.00598166,1,"Memphis TN",35.1174,-89.9711,3891
"Campbell Rodney","M",45.46569758,5.229791836,47.60072783,1,"Memphis TN",35.1174,-89.9711,3891
"Campbell Tyler","M",49.7046176,6.041713642,102.9902888,1,"Memphis TN",35.1174,-89.9711,3891
"Cannon Consuelo","F",51.42539933,6.093313601,146.1279091,1,"Memphis TN",35.1174,-89.9711,3891
"Carballo Robert","M",41.82688879,3.52720983,42.18393096,1,"Memphis TN",35.1174,-89.9711,3891
"Card Robert","M",51.84705628,4.715137332,92.18955977,1,"Memphis TN",35.1174,-89.9711,3891
"Carder Rose","F",42.134894,3.146449564,66.97529298,1,"Memphis TN",35.1174,-89.9711,3891
"Carlson Joey","M",31.0030626,3.172452072,20.7176061,1,"Memphis TN",35.1174,-89.9711,3891
"Carpenter Vanessa","F",37.41729645,8.877576606,61.82568628,1,"Memphis TN",35.1174,-89.9711,3891
"Carpentier William","M",53.72168,12.259574,0,1,"Memphis TN",35.1174,-89.9711,3891
"Carpio Joyce","F",31.84387655,4.712987024,21.95826382,1,"Memphis TN",35.1174,-89.9711,3891
"Carroll Elizabeth","F",28.29331525,5.72217916,0,1,"Memphis TN",35.1174,-89.9711,3891
"Carroll Frances","F",38.95120473,4.158828775,48.79201599,1,"Memphis TN",35.1174,-89.9711,3891
"Carter Billy","M",27.25271305,4.760945215,0,1,"Memphis TN",35.1174,-89.9711,3891
"Carter Elisa","F",46.92429552,3.378749497,117.1502387,1,"Memphis TN",35.1174,-89.9711,3891
"Cason Sandra","F",18.23617179,4.731764503,0,1,"Memphis TN",35.1174,-89.9711,3891
"Cass Leonard","M",44.77998421,1.176404324,21.33432103,1,"Memphis TN",35.1174,-89.9711,3891
"Casteel Mario","M",41.32764711,2.175170763,47.89896135,1,"Memphis TN",35.1174,-89.9711,3891
"Cerna Leonard","M",26.73522731,3.81345639,0,1,"Memphis TN",35.1174,-89.9711,3891
"Chambers Paul","M",44.05628054,5.565071402,84.88236969,1,"Memphis TN",35.1174,-89.9711,3891
"Chan Harold","M",42.13647744,1.234449018,16.16955985,1,"Memphis TN",35.1174,-89.9711,3891
"Chapel Jennifer","F",55.95960965,6.352463218,147.9176378,1,"Memphis TN",35.1174,-89.9711,3891
"Chapman George","M",38.72925246,5.096752956,96.47807377,1,"Memphis TN",35.1174,-89.9711,3891
"Chico Joyce","F",45.3008103,5.567973876,19.6191458,1,"Memphis TN",35.1174,-89.9711,3891
"Childs Raphael","M",29.98487714,4.252729177,0,1,"Memphis TN",35.1174,-89.9711,3891
"Chitwood Linda","F",30.31975718,6.621162459,10.46346356,1,"Memphis TN",35.1174,-89.9711,3891
"Choy Lynda","F",50.15030924,4.205600828,95.74000969,1,"Memphis TN",35.1174,-89.9711,3891
"Christensen Annie","F",49.59018646,4.57182491,79.36187242,1,"Memphis TN",35.1174,-89.9711,3891
"Christian Deborah","F",38.75307507,4.997003216,62.76133426,1,"Memphis TN",35.1174,-89.9711,3891
"Clark Danny","M",54.38425965,3.679334588,122.5479946,1,"Memphis TN",35.1174,-89.9711,3891
"Clark Norman","M",61.44171005,4.180569347,103.5042203,1,"Memphis TN",35.1174,-89.9711,3891
"Clark Troy","M",57.05718302,7.073164363,140.0200403,1,"Memphis TN",35.1174,-89.9711,3891
"Clayton Juan","M",37.84356766,5.368060348,67.1494575,1,"Memphis TN",35.1174,-89.9711,3891
"Clemons Charlie","M",50.096027,5.335178967,112.2200126,1,"Memphis TN",35.1174,-89.9711,3891
"Click Audra","F",30.23772064,1.224984469,0,1,"Memphis TN",35.1174,-89.9711,3891
"Clukey Paulette","F",45.05657691,5.205992896,69.96373019,1,"Memphis TN",35.1174,-89.9711,3891
"Cobb Louis","M",35.49732049,7.143045884,39.76880136,1,"Memphis TN",35.1174,-89.9711,3891
"Cole James","M",50.99268103,1.967178543,70.92629791,1,"Memphis TN",35.1174,-89.9711,3891
"Coleman Ana","F",52.18534665,5.98522589,164.0284577,1,"Memphis TN",35.1174,-89.9711,3891
"Coleman Eldon","M",44.64226576,5.464911166,5.050380345,1,"Memphis TN",35.1174,-89.9711,3891
"Coleman Rhonda","F",30.56273172,3.148724399,22.30228931,1,"Memphis TN",35.1174,-89.9711,3891
"Collin Kimberly","F",36.90932723,5.23385766,62.0406025,1,"Memphis TN",35.1174,-89.9711,3891
"Collins Rebecca","F",35.06196958,4.645853404,5.849351421,1,"Memphis TN",35.1174,-89.9711,3891
"Colon Jerry","M",54.65319595,4.931397258,109.9603735,1,"Memphis TN",35.1174,-89.9711,3891
"Colvin Justin","M",63.13671837,4.3214219,131.3774012,1,"Memphis TN",35.1174,-89.9711,3891
"Conner Cruz","F",40.46638426,3.27081032,74.27764967,1,"Memphis TN",35.1174,-89.9711,3891
"Conner Donna","F",42.25585299,1.518009631,28.01525537,1,"Memphis TN",35.1174,-89.9711,3891
"Cook Anthony","M",55.76305,11.44132,0,1,"Memphis TN",35.1174,-89.9711,3891
"Cook Dennis","M",33.23653801,2.785343351,11.16182538,1,"Memphis TN",35.1174,-89.9711,3891
"Cook Harvey","M",37.73886552,4.115741685,31.18685497,1,"Memphis TN",35.1174,-89.9711,3891
"Cook Susan","F",32.58342933,3.586731682,34.15549793,1,"Memphis TN",35.1174,-89.9711,3891
"Cooper Sarah","F",25.66103218,8.21975314,3.24826314,1,"Memphis TN",35.1174,-89.9711,3891
"Cooper Ted","M",30.90446303,2.673486832,0,1,"Memphis TN",35.1174,-89.9711,3891
"Cope Charles","M",43.67543867,5.238041845,57.0594576,1,"Memphis TN",35.1174,-89.9711,3891
"Cordell Domingo","M",42.46158934,2.142252091,65.70555886,1,"Memphis TN",35.1174,-89.9711,3891
"Cordova Carmen","F",49.42002661,5.872508343,101.7920905,1,"Memphis TN",35.1174,-89.9711,3891
"Cotter Maurice","M",53.72931222,4.931881939,115.6262769,1,"Memphis TN",35.1174,-89.9711,3891
"Courville Garfield","M",40.76699396,5.297914383,103.7307302,1,"Memphis TN",35.1174,-89.9711,3891
"Cox Debbra","F",39.27765341,5.931499913,50.91033151,1,"Memphis TN",35.1174,-89.9711,3891
"Cox Jimmie","M",34.45549048,2.427274175,0,1,"Memphis TN",35.1174,-89.9711,3891
"Creamer Irma","F",35.24973841,4.96426286,30.50187853,1,"Memphis TN",35.1174,-89.9711,3891
"Criddle Chandra","F",54.1099398,2.873173699,85.95043508,1,"Memphis TN",35.1174,-89.9711,3891
"Cropper Margaret","F",39.91244935,4.018570036,83.11431539,1,"Memphis TN",35.1174,-89.9711,3891
"Crowe Jessie","F",27.8011147,1.788740173,0,1,"Memphis TN",35.1174,-89.9711,3891
"Crum Donald","M",52.9193061,6.729822135,76.77236703,1,"Memphis TN",35.1174,-89.9711,3891
"Crump Anna","F",34.64333794,3.482534305,27.09380225,1,"Memphis TN",35.1174,-89.9711,3891
"Culpepper Chi","M",33.76176129,1.708451205,68.41780634,1,"Memphis TN",35.1174,-89.9711,3891
"Cunningham James","M",34.73043089,3.675289735,0,1,"Memphis TN",35.1174,-89.9711,3891
"Cunningham Ronald","M",39.14940078,6.190402746,38.543946,1,"Memphis TN",35.1174,-89.9711,3891
"Cunningham Roxanne","F",50.45648537,3.056838152,79.57288682,1,"Memphis TN",35.1174,-89.9711,3891
"Dale James","M",47.57691019,6.155158812,37.8954733,1,"Memphis TN",35.1174,-89.9711,3891
"Daley Jeff","M",51.42843498,4.166619303,83.34516514,1,"Memphis TN",35.1174,-89.9711,3891
"Dan Thomas","M",47.45363806,6.65086219,106.2211311,1,"Memphis TN",35.1174,-89.9711,3891
"Dang William","M",44.56548797,5.316703212,29.94193707,1,"Memphis TN",35.1174,-89.9711,3891
"Daniel Jennifer","F",55.01031,32.350609,113.9021614,1,"Memphis TN",35.1174,-89.9711,3891
"Danner Randy","M",49.39801549,5.341005079,115.5361798,1,"Memphis TN",35.1174,-89.9711,3891
"Davenport Thelma","F",44.15444385,4.609547332,65.87226603,1,"Memphis TN",35.1174,-89.9711,3891
"Davidson Matthew","M",36.95224828,4.308192699,62.50933757,1,"Memphis TN",35.1174,-89.9711,3891
"Davis Betty","F",42.99188812,4.298796278,88.50445313,1,"Memphis TN",35.1174,-89.9711,3891
"Davis Danielle","F",42.43675782,3.353057649,67.95899917,1,"Memphis TN",35.1174,-89.9711,3891
"Davis David","M",42.95168881,7.976673863,51.56714278,1,"Memphis TN",35.1174,-89.9711,3891
"Davis Elinor","F",65.33951135,5.639733656,206.7669254,1,"Memphis TN",35.1174,-89.9711,3891
"Davis Janet","F",30.78519091,4.583328091,34.33444296,1,"Memphis TN",35.1174,-89.9711,3891
"Davis Reginald","M",49.12434714,5.284253013,73.65320997,1,"Memphis TN",35.1174,-89.9711,3891
"Day Gwendolyn","F",46.151007,5.505385089,95.24974675,1,"Memphis TN",35.1174,-89.9711,3891
"Day Jennifer","F",42.60764428,4.715111434,8.39905755,1,"Memphis TN",35.1174,-89.9711,3891
"Delgado Clifton","M",39.20041438,5.743131265,0,1,"Memphis TN",35.1174,-89.9711,3891
"Dennis Kathleen","F",49.63896594,4.494735723,64.24830875,1,"Memphis TN",35.1174,-89.9711,3891
"Desai April","F",38.64192402,6.35253577,58.06889481,1,"Memphis TN",35.1174,-89.9711,3891
"Devereaux Lisa","F",66.84516647,1.789328086,181.0425668,1,"Memphis TN",35.1174,-89.9711,3891
"Dickerson Francis","M",51.25123164,2.719550672,50.96075507,1,"Memphis TN",35.1174,-89.9711,3891
"Dillingham Maxine","F",49.76575699,7.722571055,86.51479597,1,"Memphis TN",35.1174,-89.9711,3891
"Dix Dennis","M",54.46934128,1.822046798,143.7278332,1,"Memphis TN",35.1174,-89.9711,3891
"Dobbs Samuel","M",46.26318447,2.822267528,55.34484555,1,"Memphis TN",35.1174,-89.9711,3891
"Doctor Brian","M",38.5259948,2.984555252,32.56282117,1,"Memphis TN",35.1174,-89.9711,3891
"Doiron Penny","F",48.69456618,2.738130046,78.17146181,1,"Memphis TN",35.1174,-89.9711,3891
"Donaldson Adriana","F",42.8715,19.006436,38.88332344,1,"Memphis TN",35.1174,-89.9711,3891
"Donmoyer Dawn","F",30.98562558,3.869077364,0,1,"Memphis TN",35.1174,-89.9711,3891
"Douglas John","M",58.50751557,4.216304,142.6547411,1,"Memphis TN",35.1174,-89.9711,3891
"Downey Brandon","M",38.1215794,5.462859531,73.17794867,1,"Memphis TN",35.1174,-89.9711,3891
"Drake Antonio","M",29.42749471,3.77510406,0,1,"Memphis TN",35.1174,-89.9711,3891
"Drake Dorothy","F",42.5519453,3.699579475,61.27485652,1,"Memphis TN",35.1174,-89.9711,3891
"Dreyer Steven","M",47.47208218,7.83888848,58.26184527,1,"Memphis TN",35.1174,-89.9711,3891
"Driscoll Melissa","F",45.29814096,4.45504485,120.5576967,1,"Memphis TN",35.1174,-89.9711,3891
"Drum Sarah","F",18.29633257,5.120617706,0,1,"Memphis TN",35.1174,-89.9711,3891
"Dubois Jeffrey","M",27.93510881,4.697636333,21.23154207,1,"Memphis TN",35.1174,-89.9711,3891
"Duggan Evelyn","F",57.62426835,6.452874719,198.2374491,1,"Memphis TN",35.1174,-89.9711,3891
"Dumont Robert","M",47.36298801,3.825344918,90.51387035,1,"Memphis TN",35.1174,-89.9711,3891
"Dunn Fred","M",37.09967166,4.920414178,5.986122411,1,"Memphis TN",35.1174,-89.9711,3891
"Dunn Jorge","M",32.91476313,3.802533976,0,1,"Memphis TN",35.1174,-89.9711,3891
"Dyal William","M",33.3683369,2.301876593,31.69229831,1,"Memphis TN",35.1174,-89.9711,3891
"Earnest Linda","F",20.45357103,4.38279199,0,1,"Memphis TN",35.1174,-89.9711,3891
"Easter Jesus","M",52.84993328,3.287920477,85.22214739,1,"Memphis TN",35.1174,-89.9711,3891
"Eaton Melissa","F",42.75426816,5.229354209,69.2903735,1,"Memphis TN",35.1174,-89.9711,3891
"Eddy Leslie","F",44.64812276,5.910195849,45.01730115,1,"Memphis TN",35.1174,-89.9711,3891
"Elliott Mary","F",29.76956245,4.66491939,0,1,"Memphis TN",35.1174,-89.9711,3891
"Ellis Russell","M",28.22008962,4.725246816,0,1,"Memphis TN",35.1174,-89.9711,3891
"Elmore Pearl","F",46.9863272,2.629968095,93.38128952,1,"Memphis TN",35.1174,-89.9711,3891
"England Wade","M",54.87712459,3.45391414,107.8261637,1,"Memphis TN",35.1174,-89.9711,3891
"English David","M",44.38130419,7.242715789,17.40637124,1,"Memphis TN",35.1174,-89.9711,3891
"Enriquez Faye","F",46.72283387,3.77435207,87.60291891,1,"Memphis TN",35.1174,-89.9711,3891
"Epps William","M",50.06389361,6.135471637,85.24533053,1,"Memphis TN",35.1174,-89.9711,3891
"Erickson James","M",51.97257096,1.961555939,91.15484645,1,"Memphis TN",35.1174,-89.9711,3891
"Ervin Patricia","F",47.5184211,3.813679718,96.88371667,1,"Memphis TN",35.1174,-89.9711,3891
"Escalera Harold","M",56.76833701,4.047592027,161.9690424,1,"Memphis TN",35.1174,-89.9711,3891
"Escobedo John","M",37.16653837,4.997503992,0,1,"Memphis TN",35.1174,-89.9711,3891
"Espinal Patrica","F",45.90201533,4.295953179,69.4661712,1,"Memphis TN",35.1174,-89.9711,3891
"Estes Walter","M",52.27543054,4.312101691,110.2688127,1,"Memphis TN",35.1174,-89.9711,3891
"Estrada Susan","F",33.08039334,4.365460731,6.793028997,1,"Memphis TN",35.1174,-89.9711,3891
"Evans Clarissa","F",43.48775252,3.563911637,87.18662262,1,"Memphis TN",35.1174,-89.9711,3891
"Everhart Tu","F",59.61591064,3.317481593,164.4815582,1,"Memphis TN",35.1174,-89.9711,3891
"Ewell Janet","F",33.71453232,5.398828757,9.36053229,1,"Memphis TN",35.1174,-89.9711,3891
"Fagan Mark","M",47.5840163,2.559383872,72.12362771,1,"Memphis TN",35.1174,-89.9711,3891
"Fanning Harold","M",41.79001,11.892066,0,1,"Memphis TN",35.1174,-89.9711,3891
"Faulkner Barbara","F",39.72412931,7.48027135,68.38227676,1,"Memphis TN",35.1174,-89.9711,3891
"Ferguson Earl","M",46.32852217,4.994080625,79.54260342,1,"Memphis TN",35.1174,-89.9711,3891
"Fernandez Rocco","M",49.33457501,6.651904548,88.83083862,1,"Memphis TN",35.1174,-89.9711,3891
"Figueiredo William","M",45.02711217,5.955613914,65.6723119,1,"Memphis TN",35.1174,-89.9711,3891
"Finkle Karen","F",48.75480562,4.706603522,47.9703359,1,"Memphis TN",35.1174,-89.9711,3891
"Finney Marion","F",52.10199238,8.346610938,104.2566963,1,"Memphis TN",35.1174,-89.9711,3891
"Fletcher Lorraine","F",54.14122066,7.296821581,158.544344,1,"Memphis TN",35.1174,-89.9711,3891
"Fleury Susanna","F",72.075898,2.708077848,215.6949858,1,"Memphis TN",35.1174,-89.9711,3891
"Foley Dorothy","F",43.1873933,3.780362412,77.06734474,1,"Memphis TN",35.1174,-89.9711,3891
"Foster Paul","M",32.583867,14.583867,33.80789048,1,"Memphis TN",35.1174,-89.9711,3891
"Fralick Thelma","F",29.30370209,3.32828679,36.26095364,1,"Memphis TN",35.1174,-89.9711,3891
"Frank Zola","F",38.76054685,2.142111623,105.4830539,1,"Memphis TN",35.1174,-89.9711,3891
"Franklin Joyce","F",42.52365842,4.160159258,70.77046235,1,"Memphis TN",35.1174,-89.9711,3891
"Franklin Karla","F",41.70505843,5.285878031,81.26015359,1,"Memphis TN",35.1174,-89.9711,3891
"Frazier David","M",51.13856456,4.527373576,89.30060451,1,"Memphis TN",35.1174,-89.9711,3891
"Frazier Donnie","M",48.67260857,7.386674295,98.83624566,1,"Memphis TN",35.1174,-89.9711,3891
"Free George","M",51.70202878,3.928163735,134.7660587,1,"Memphis TN",35.1174,-89.9711,3891
"Friedman Albert","M",47.52805757,4.978705092,112.500863,1,"Memphis TN",35.1174,-89.9711,3891
"Fu Susan","F",44.45077471,4.11073863,113.2357077,1,"Memphis TN",35.1174,-89.9711,3891
"Fuller Mariann","F",41.52076796,8.109574179,35.52910384,1,"Memphis TN",35.1174,-89.9711,3891
"Fullwood Deborah","F",40.73278541,5.171217307,53.78430096,1,"Memphis TN",35.1174,-89.9711,3891
"Fulton Mary","F",17.29746571,1.724435083,0,1,"Memphis TN",35.1174,-89.9711,3891
"Gaddy Tracy","M",57.08813022,5.422745919,122.660478,1,"Memphis TN",35.1174,-89.9711,3891
"Garcia Mary","F",55.53408116,5.722223387,155.9489888,1,"Memphis TN",35.1174,-89.9711,3891
"Garner Angela","F",33.18457506,4.830583077,38.10623883,1,"Memphis TN",35.1174,-89.9711,3891
"Garvey Michael","M",42.90111865,6.177614412,113.7044544,1,"Memphis TN",35.1174,-89.9711,3891
"Gates Arthur","M",34.742442,4.984118128,19.56190596,1,"Memphis TN",35.1174,-89.9711,3891
"Gentry Mark","M",46.97194627,5.195638135,91.42053062,1,"Memphis TN",35.1174,-89.9711,3891
"Gibbs Theresa","F",59.4171741,9.051554621,206.7041399,1,"Memphis TN",35.1174,-89.9711,3891
"Gibson Linda","F",58.26264416,5.214203563,167.6526492,1,"Memphis TN",35.1174,-89.9711,3891
"Gilbert Dennis","M",56.3812247,2.299988855,147.2760775,1,"Memphis TN",35.1174,-89.9711,3891
